node_a	node_b	shared	ref
12361	363	0	0
12361	12306	0	0
13378	5408	0	0
13378	635	0	0
13378	0050741	0	0
13378	4481	0	0
13378	986	0	0
13378	332	0	0
13378	7147	0	0
13378	2841	0	0
13378	1936	1	1
13378	3310	0	0
13378	14227	0	0
13378	184	0	0
13378	1319	0	0
13378	1612	0	0
13378	4362	0	0
13378	3083	0	0
13378	219	0	0
13378	3393	1	1
13378	12930	1	1
13378	1826	0	0
13378	5041	0	0
13378	1312	0	0
13378	2994	0	0
13378	11714	0	0
13378	1686	0	0
13378	13189	0	0
13378	11934	0	0
13378	2531	0	0
13378	2043	0	0
13378	10763	1	1
13378	1459	0	0
13378	263	0	0
13378	1024	0	0
13378	3571	0	0
13378	1324	0	0
13378	0060073	0	0
13378	12365	0	0
13378	3070	0	0
13378	1909	0	0
13378	14221	0	0
13378	6364	0	0
13378	2377	0	0
13378	4045	0	0
13378	585	0	0
13378	0050742	0	0
13378	9970	0	0
13378	2174	0	0
13378	11476	0	0
13378	2394	0	0
13378	1793	0	0
13378	4989	0	0
13378	1192	0	0
13378	11612	0	0
13378	12236	0	0
13378	10283	0	0
13378	8893	0	0
13378	9008	0	0
13378	7148	0	0
13378	1115	0	0
13378	4159	0	0
13378	10534	0	0
13378	9074	0	0
13378	418	1	1
13378	2998	0	0
13378	3277	0	0
13378	1781	0	0
13378	9744	0	0
13378	9352	0	0
13378	8577	0	0
13378	11054	0	0
13378	363	0	0
13378	12306	0	0
5408	635	0	0
5408	0050741	0	0
5408	4481	0	0
5408	986	0	0
5408	332	0	0
5408	7147	0	0
5408	2841	0	0
5408	1936	0	0
5408	3310	0	0
5408	14227	0	0
5408	184	0	0
5408	1319	0	0
5408	1612	0	0
5408	4362	0	0
5408	3083	0	0
5408	219	0	0
5408	3393	0	0
5408	12930	0	0
5408	1826	0	0
5408	5041	0	0
5408	1312	0	0
5408	2994	0	0
5408	11714	0	0
5408	1686	0	0
5408	13189	0	0
5408	11934	0	0
5408	2531	0	0
5408	2043	0	0
5408	10763	0	0
5408	1459	0	0
5408	263	0	0
5408	1024	0	0
5408	3571	0	0
5408	1324	0	0
5408	0060073	0	0
5408	12365	0	0
5408	3070	0	0
5408	1909	0	0
5408	14221	0	0
5408	6364	0	0
5408	2377	0	0
5408	4045	0	0
5408	585	0	0
5408	0050742	0	0
5408	9970	0	0
5408	2174	0	0
5408	11476	1	1
5408	2394	0	0
5408	1793	0	0
5408	4989	0	0
5408	1192	0	0
5408	11612	0	0
5408	12236	0	0
5408	10283	0	0
5408	8893	1	1
5408	9008	0	0
5408	7148	0	0
5408	1115	0	0
5408	4159	0	0
5408	10534	0	0
5408	9074	0	0
5408	418	0	0
5408	2998	0	0
5408	3277	0	0
5408	1781	0	0
5408	9744	0	0
5408	9352	0	0
5408	8577	1	1
5408	11054	0	0
5408	363	0	0
5408	12306	0	0
635	0050741	0	0
635	4481	0	0
635	986	0	0
635	332	0	0
635	7147	0	0
635	2841	0	0
635	1936	0	0
635	3310	0	0
635	14227	0	0
635	184	0	0
635	1319	0	0
635	1612	0	0
635	4362	0	0
635	3083	0	0
635	219	0	0
635	3393	0	0
635	12930	0	0
635	1826	0	0
635	5041	0	0
635	1312	0	0
635	2994	0	0
635	11714	0	0
635	1686	0	0
635	13189	0	0
635	11934	0	0
635	2531	0	0
635	2043	1	1
635	10763	0	0
635	1459	0	0
635	263	0	0
635	1024	0	0
635	3571	0	0
635	1324	0	0
635	0060073	0	0
635	12365	0	0
635	3070	0	0
635	1909	0	0
635	14221	0	0
635	6364	0	0
635	2377	0	0
635	4045	0	0
635	585	0	0
635	0050742	0	0
635	9970	0	0
635	2174	0	0
635	11476	0	0
635	2394	0	0
635	1793	0	0
635	4989	0	0
635	1192	0	0
635	11612	0	0
635	12236	0	0
635	10283	0	0
635	8893	0	0
635	9008	0	0
635	7148	0	0
635	1115	0	0
635	4159	0	0
635	10534	0	0
635	9074	0	0
635	418	0	0
635	2998	0	0
635	3277	0	0
635	1781	0	0
635	9744	0	0
635	9352	0	0
635	8577	0	0
635	11054	0	0
635	363	0	0
635	12306	0	0
0050741	4481	0	0
0050741	986	0	0
0050741	332	0	0
0050741	7147	0	0
0050741	2841	1	1
0050741	1936	0	0
0050741	3310	0	0
0050741	14227	0	0
0050741	184	0	0
0050741	1319	0	0
0050741	1612	0	0
0050741	4362	0	0
0050741	3083	1	1
0050741	219	0	0
0050741	3393	0	0
0050741	12930	0	0
0050741	1826	0	0
0050741	5041	0	0
0050741	1312	0	0
0050741	2994	0	0
0050741	11714	0	0
0050741	1686	0	0
0050741	13189	0	0
0050741	11934	0	0
0050741	2531	0	0
0050741	2043	0	0
0050741	10763	0	0
0050741	1459	0	0
0050741	263	0	0
0050741	1024	0	0
0050741	3571	0	0
0050741	1324	0	0
0050741	0060073	0	0
0050741	12365	0	0
0050741	3070	0	0
0050741	1909	0	0
0050741	14221	0	0
0050741	6364	1	1
0050741	2377	0	0
0050741	4045	0	0
0050741	585	0	0
0050741	0050742	1	1
0050741	9970	1	1
0050741	2174	0	0
0050741	11476	0	0
0050741	2394	0	0
0050741	1793	0	0
0050741	4989	0	0
0050741	1192	0	0
0050741	11612	0	0
0050741	12236	0	0
0050741	10283	0	0
0050741	8893	0	0
0050741	9008	0	0
0050741	7148	0	0
0050741	1115	0	0
0050741	4159	0	0
0050741	10534	1	1
0050741	9074	0	0
0050741	418	0	0
0050741	2998	0	0
0050741	3277	0	0
0050741	1781	0	0
0050741	9744	0	0
0050741	9352	0	0
0050741	8577	1	1
0050741	11054	0	0
0050741	363	0	0
0050741	12306	0	0
4481	986	1	1
4481	332	0	0
4481	7147	5	1
4481	2841	10	1
4481	1936	0	0
4481	3310	8	1
4481	14227	0	0
4481	184	0	0
4481	1319	0	0
4481	1612	0	0
4481	4362	0	0
4481	3083	4	1
4481	219	0	0
4481	3393	0	0
4481	12930	0	0
4481	1826	0	0
4481	5041	0	0
4481	1312	0	0
4481	2994	0	0
4481	11714	0	0
4481	1686	0	0
4481	13189	3	1
4481	11934	0	0
4481	2531	4	1
4481	2043	0	0
4481	10763	1	1
4481	1459	0	0
4481	263	0	0
4481	1024	0	0
4481	3571	0	0
4481	1324	0	0
4481	0060073	0	0
4481	12365	0	0
4481	3070	0	0
4481	1909	0	0
4481	14221	0	0
4481	6364	0	0
4481	2377	5	1
4481	4045	0	0
4481	585	0	0
4481	0050742	0	0
4481	9970	0	0
4481	2174	0	0
4481	11476	0	0
4481	2394	0	0
4481	1793	0	0
4481	4989	0	0
4481	1192	0	0
4481	11612	0	0
4481	12236	0	0
4481	10283	0	0
4481	8893	5	1
4481	9008	5	1
4481	7148	6	1
4481	1115	0	0
4481	4159	0	0
4481	10534	0	0
4481	9074	6	1
4481	418	0	0
4481	2998	0	0
4481	3277	0	0
4481	1781	0	0
4481	9744	0	0
4481	9352	0	0
4481	8577	7	1
4481	11054	0	0
4481	363	0	0
4481	12306	0	0
986	332	0	0
986	7147	1	1
986	2841	1	1
986	1936	0	0
986	3310	1	1
986	14227	0	0
986	184	0	0
986	1319	0	0
986	1612	0	0
986	4362	0	0
986	3083	1	1
986	219	0	0
986	3393	0	0
986	12930	0	0
986	1826	0	0
986	5041	0	0
986	1312	0	0
986	2994	0	0
986	11714	0	0
986	1686	0	0
986	13189	0	0
986	11934	0	0
986	2531	1	1
986	2043	0	0
986	10763	0	0
986	1459	0	0
986	263	0	0
986	1024	0	0
986	3571	0	0
986	1324	0	0
986	0060073	0	0
986	12365	0	0
986	3070	0	0
986	1909	0	0
986	14221	0	0
986	6364	0	0
986	2377	1	1
986	4045	0	0
986	585	0	0
986	0050742	0	0
986	9970	0	0
986	2174	0	0
986	11476	0	0
986	2394	0	0
986	1793	0	0
986	4989	0	0
986	1192	0	0
986	11612	0	0
986	12236	0	0
986	10283	0	0
986	8893	1	1
986	9008	1	1
986	7148	1	1
986	1115	0	0
986	4159	0	0
986	10534	0	0
986	9074	1	1
986	418	0	0
986	2998	0	0
986	3277	0	0
986	1781	0	0
986	9744	0	0
986	9352	0	0
986	8577	1	1
986	11054	0	0
986	363	0	0
986	12306	0	0
332	7147	0	0
332	2841	0	0
332	1936	0	0
332	3310	0	0
332	14227	0	0
332	184	0	0
332	1319	0	0
332	1612	0	0
332	4362	0	0
332	3083	0	0
332	219	0	0
332	3393	0	0
332	12930	0	0
332	1826	0	0
332	5041	0	0
332	1312	0	0
332	2994	0	0
332	11714	0	0
332	1686	0	0
332	13189	0	0
332	11934	0	0
332	2531	0	0
332	2043	0	0
332	10763	0	0
332	1459	0	0
332	263	0	0
332	1024	0	0
332	3571	0	0
332	1324	0	0
332	0060073	0	0
332	12365	0	0
332	3070	0	0
332	1909	0	0
332	14221	0	0
332	6364	0	0
332	2377	0	0
332	4045	0	0
332	585	0	0
332	0050742	0	0
332	9970	0	0
332	2174	0	0
332	11476	0	0
332	2394	0	0
332	1793	0	0
332	4989	0	0
332	1192	0	0
332	11612	0	0
332	12236	0	0
332	10283	0	0
332	8893	0	0
332	9008	0	0
332	7148	0	0
332	1115	0	0
332	4159	0	0
332	10534	0	0
332	9074	0	0
332	418	0	0
332	2998	0	0
332	3277	0	0
332	1781	0	0
332	9744	0	0
332	9352	0	0
332	8577	0	0
332	11054	0	0
332	363	0	0
332	12306	0	0
7147	2841	6	1
7147	1936	0	0
7147	3310	7	1
7147	14227	0	0
7147	184	1	1
7147	1319	0	0
7147	1612	1	1
7147	4362	0	0
7147	3083	3	1
7147	219	1	1
7147	3393	0	0
7147	12930	0	0
7147	1826	0	0
7147	5041	1	1
7147	1312	1	1
7147	2994	1	1
7147	11714	0	0
7147	1686	0	0
7147	13189	3	1
7147	11934	0	0
7147	2531	6	1
7147	2043	0	0
7147	10763	0	0
7147	1459	0	0
7147	263	1	1
7147	1024	1	1
7147	3571	0	0
7147	1324	1	1
7147	0060073	1	1
7147	12365	0	0
7147	3070	0	0
7147	1909	0	0
7147	14221	0	0
7147	6364	0	0
7147	2377	7	1
7147	4045	1	1
7147	585	0	0
7147	0050742	0	0
7147	9970	1	1
7147	2174	0	0
7147	11476	0	0
7147	2394	0	0
7147	1793	0	0
7147	4989	0	0
7147	1192	0	0
7147	11612	0	0
7147	12236	0	0
7147	10283	1	1
7147	8893	6	1
7147	9008	7	1
7147	7148	7	1
7147	1115	0	0
7147	4159	0	0
7147	10534	1	1
7147	9074	7	1
7147	418	2	1
7147	2998	1	1
7147	3277	0	0
7147	1781	0	0
7147	9744	0	0
7147	9352	0	0
7147	8577	7	1
7147	11054	1	1
7147	363	0	0
7147	12306	0	0
2841	1936	0	0
2841	3310	10	1
2841	14227	0	0
2841	184	0	0
2841	1319	0	0
2841	1612	0	0
2841	4362	0	0
2841	3083	6	1
2841	219	0	0
2841	3393	0	0
2841	12930	0	0
2841	1826	0	0
2841	5041	0	0
2841	1312	0	0
2841	2994	0	0
2841	11714	0	0
2841	1686	0	0
2841	13189	4	1
2841	11934	0	0
2841	2531	5	1
2841	2043	0	0
2841	10763	3	1
2841	1459	0	0
2841	263	0	0
2841	1024	0	0
2841	3571	0	0
2841	1324	0	0
2841	0060073	0	0
2841	12365	0	0
2841	3070	0	0
2841	1909	0	0
2841	14221	0	0
2841	6364	0	0
2841	2377	6	1
2841	4045	0	0
2841	585	0	0
2841	0050742	1	1
2841	9970	0	0
2841	2174	0	0
2841	11476	0	0
2841	2394	0	0
2841	1793	0	0
2841	4989	0	0
2841	1192	0	0
2841	11612	0	0
2841	12236	0	0
2841	10283	1	1
2841	8893	7	1
2841	9008	6	1
2841	7148	7	1
2841	1115	0	0
2841	4159	0	0
2841	10534	0	0
2841	9074	7	1
2841	418	2	1
2841	2998	0	0
2841	3277	0	0
2841	1781	0	0
2841	9744	0	0
2841	9352	0	0
2841	8577	9	1
2841	11054	0	0
2841	363	0	0
2841	12306	0	0
1936	3310	0	0
1936	14227	0	0
1936	184	0	0
1936	1319	0	0
1936	1612	0	0
1936	4362	0	0
1936	3083	0	0
1936	219	0	0
1936	3393	3	1
1936	12930	1	1
1936	1826	0	0
1936	5041	0	0
1936	1312	0	0
1936	2994	0	0
1936	11714	0	0
1936	1686	0	0
1936	13189	0	0
1936	11934	0	0
1936	2531	0	0
1936	2043	0	0
1936	10763	2	1
1936	1459	1	1
1936	263	0	0
1936	1024	0	0
1936	3571	0	0
1936	1324	0	0
1936	0060073	0	0
1936	12365	1	1
1936	3070	0	0
1936	1909	0	0
1936	14221	0	0
1936	6364	0	0
1936	2377	0	0
1936	4045	0	0
1936	585	0	0
1936	0050742	0	0
1936	9970	0	0
1936	2174	0	0
1936	11476	0	0
1936	2394	0	0
1936	1793	0	0
1936	4989	0	0
1936	1192	0	0
1936	11612	0	0
1936	12236	0	0
1936	10283	0	0
1936	8893	0	0
1936	9008	0	0
1936	7148	0	0
1936	1115	0	0
1936	4159	0	0
1936	10534	0	0
1936	9074	0	0
1936	418	2	1
1936	2998	0	0
1936	3277	0	0
1936	1781	0	0
1936	9744	0	0
1936	9352	0	0
1936	8577	0	0
1936	11054	0	0
1936	363	0	0
1936	12306	0	0
3310	14227	0	0
3310	184	1	1
3310	1319	0	0
3310	1612	1	1
3310	4362	0	0
3310	3083	4	1
3310	219	1	1
3310	3393	0	0
3310	12930	0	0
3310	1826	0	0
3310	5041	1	1
3310	1312	1	1
3310	2994	1	1
3310	11714	0	0
3310	1686	1	1
3310	13189	4	1
3310	11934	0	0
3310	2531	6	1
3310	2043	0	0
3310	10763	1	1
3310	1459	0	0
3310	263	1	1
3310	1024	1	1
3310	3571	0	0
3310	1324	1	1
3310	0060073	1	1
3310	12365	0	0
3310	3070	0	0
3310	1909	0	0
3310	14221	0	0
3310	6364	0	0
3310	2377	7	1
3310	4045	1	1
3310	585	0	0
3310	0050742	0	0
3310	9970	1	1
3310	2174	0	0
3310	11476	0	0
3310	2394	0	0
3310	1793	0	0
3310	4989	0	0
3310	1192	0	0
3310	11612	0	0
3310	12236	0	0
3310	10283	1	1
3310	8893	8	1
3310	9008	7	1
3310	7148	8	1
3310	1115	0	0
3310	4159	0	0
3310	10534	1	1
3310	9074	8	1
3310	418	3	1
3310	2998	1	1
3310	3277	0	0
3310	1781	0	0
3310	9744	0	0
3310	9352	0	0
3310	8577	8	1
3310	11054	1	1
3310	363	0	0
3310	12306	0	0
14227	184	0	0
14227	1319	0	0
14227	1612	0	0
14227	4362	0	0
14227	3083	0	0
14227	219	0	0
14227	3393	0	0
14227	12930	0	0
14227	1826	0	0
14227	5041	0	0
14227	1312	0	0
14227	2994	0	0
14227	11714	0	0
14227	1686	0	0
14227	13189	0	0
14227	11934	0	0
14227	2531	0	0
14227	2043	0	0
14227	10763	0	0
14227	1459	0	0
14227	263	0	0
14227	1024	0	0
14227	3571	0	0
14227	1324	0	0
14227	0060073	0	0
14227	12365	0	0
14227	3070	0	0
14227	1909	0	0
14227	14221	0	0
14227	6364	0	0
14227	2377	0	0
14227	4045	0	0
14227	585	0	0
14227	0050742	0	0
14227	9970	0	0
14227	2174	0	0
14227	11476	0	0
14227	2394	0	0
14227	1793	0	0
14227	4989	0	0
14227	1192	0	0
14227	11612	0	0
14227	12236	0	0
14227	10283	0	0
14227	8893	0	0
14227	9008	0	0
14227	7148	0	0
14227	1115	0	0
14227	4159	0	0
14227	10534	0	0
14227	9074	0	0
14227	418	0	0
14227	2998	0	0
14227	3277	0	0
14227	1781	0	0
14227	9744	0	0
14227	9352	0	0
14227	8577	0	0
14227	11054	0	0
14227	363	0	0
14227	12306	0	0
184	1319	1	1
184	1612	3	1
184	4362	1	1
184	3083	0	0
184	219	2	1
184	3393	0	0
184	12930	0	0
184	1826	0	0
184	5041	2	1
184	1312	1	1
184	2994	3	1
184	11714	0	0
184	1686	0	0
184	13189	0	0
184	11934	1	1
184	2531	3	1
184	2043	0	0
184	10763	0	0
184	1459	0	0
184	263	3	1
184	1024	1	1
184	3571	2	1
184	1324	3	1
184	0060073	2	1
184	12365	0	0
184	3070	0	0
184	1909	2	1
184	14221	0	0
184	6364	0	0
184	2377	2	1
184	4045	2	1
184	585	0	0
184	0050742	0	0
184	9970	1	1
184	2174	2	1
184	11476	0	0
184	2394	2	1
184	1793	2	1
184	4989	0	0
184	1192	2	1
184	11612	0	0
184	12236	0	0
184	10283	2	1
184	8893	2	1
184	9008	1	1
184	7148	1	1
184	1115	1	1
184	4159	2	1
184	10534	3	1
184	9074	1	1
184	418	1	1
184	2998	3	1
184	3277	0	0
184	1781	2	1
184	9744	0	0
184	9352	0	0
184	8577	1	1
184	11054	3	1
184	363	2	1
184	12306	0	0
1319	1612	3	1
1319	4362	1	1
1319	3083	0	0
1319	219	2	1
1319	3393	0	0
1319	12930	0	0
1319	1826	0	0
1319	5041	1	1
1319	1312	0	0
1319	2994	3	1
1319	11714	0	0
1319	1686	0	0
1319	13189	0	0
1319	11934	2	1
1319	2531	3	1
1319	2043	0	0
1319	10763	0	0
1319	1459	0	0
1319	263	2	1
1319	1024	0	0
1319	3571	1	1
1319	1324	2	1
1319	0060073	2	1
1319	12365	0	0
1319	3070	1	1
1319	1909	3	1
1319	14221	0	0
1319	6364	0	0
1319	2377	0	0
1319	4045	2	1
1319	585	0	0
1319	0050742	0	0
1319	9970	0	0
1319	2174	1	1
1319	11476	0	0
1319	2394	3	1
1319	1793	3	1
1319	4989	0	0
1319	1192	3	1
1319	11612	0	0
1319	12236	0	0
1319	10283	2	1
1319	8893	1	1
1319	9008	0	0
1319	7148	0	0
1319	1115	2	1
1319	4159	3	1
1319	10534	2	1
1319	9074	0	0
1319	418	0	0
1319	2998	3	1
1319	3277	0	0
1319	1781	1	1
1319	9744	0	0
1319	9352	0	0
1319	8577	0	0
1319	11054	3	1
1319	363	2	1
1319	12306	0	0
1612	4362	1	1
1612	3083	0	0
1612	219	4	1
1612	3393	0	0
1612	12930	0	0
1612	1826	0	0
1612	5041	3	1
1612	1312	1	1
1612	2994	5	1
1612	11714	0	0
1612	1686	0	0
1612	13189	0	0
1612	11934	3	1
1612	2531	6	1
1612	2043	0	0
1612	10763	0	0
1612	1459	0	0
1612	263	5	1
1612	1024	1	1
1612	3571	2	1
1612	1324	5	1
1612	0060073	5	1
1612	12365	0	0
1612	3070	1	1
1612	1909	4	1
1612	14221	0	0
1612	6364	0	0
1612	2377	3	1
1612	4045	4	1
1612	585	0	0
1612	0050742	0	0
1612	9970	1	1
1612	2174	2	1
1612	11476	1	1
1612	2394	4	1
1612	1793	6	1
1612	4989	0	0
1612	1192	4	1
1612	11612	0	0
1612	12236	0	0
1612	10283	6	1
1612	8893	2	1
1612	9008	1	1
1612	7148	1	1
1612	1115	3	1
1612	4159	5	1
1612	10534	5	1
1612	9074	1	1
1612	418	1	1
1612	2998	5	1
1612	3277	0	0
1612	1781	2	1
1612	9744	0	0
1612	9352	0	0
1612	8577	2	1
1612	11054	6	1
1612	363	4	1
1612	12306	0	0
4362	3083	0	0
4362	219	1	1
4362	3393	0	0
4362	12930	0	0
4362	1826	0	0
4362	5041	1	1
4362	1312	0	0
4362	2994	1	1
4362	11714	0	0
4362	1686	0	0
4362	13189	0	0
4362	11934	1	1
4362	2531	1	1
4362	2043	0	0
4362	10763	0	0
4362	1459	0	0
4362	263	1	1
4362	1024	0	0
4362	3571	1	1
4362	1324	1	1
4362	0060073	0	0
4362	12365	0	0
4362	3070	0	0
4362	1909	1	1
4362	14221	0	0
4362	6364	0	0
4362	2377	0	0
4362	4045	0	0
4362	585	0	0
4362	0050742	0	0
4362	9970	0	0
4362	2174	1	1
4362	11476	0	0
4362	2394	1	1
4362	1793	1	1
4362	4989	0	0
4362	1192	1	1
4362	11612	0	0
4362	12236	0	0
4362	10283	1	1
4362	8893	1	1
4362	9008	0	0
4362	7148	0	0
4362	1115	0	0
4362	4159	1	1
4362	10534	1	1
4362	9074	0	0
4362	418	0	0
4362	2998	1	1
4362	3277	0	0
4362	1781	1	1
4362	9744	0	0
4362	9352	0	0
4362	8577	0	0
4362	11054	1	1
4362	363	1	1
4362	12306	0	0
3083	219	0	0
3083	3393	0	0
3083	12930	0	0
3083	1826	0	0
3083	5041	0	0
3083	1312	0	0
3083	2994	0	0
3083	11714	0	0
3083	1686	0	0
3083	13189	2	1
3083	11934	0	0
3083	2531	3	1
3083	2043	0	0
3083	10763	0	0
3083	1459	0	0
3083	263	0	0
3083	1024	0	0
3083	3571	0	0
3083	1324	0	0
3083	0060073	0	0
3083	12365	0	0
3083	3070	0	0
3083	1909	0	0
3083	14221	0	0
3083	6364	0	0
3083	2377	3	1
3083	4045	0	0
3083	585	0	0
3083	0050742	1	1
3083	9970	0	0
3083	2174	0	0
3083	11476	0	0
3083	2394	0	0
3083	1793	0	0
3083	4989	0	0
3083	1192	0	0
3083	11612	0	0
3083	12236	0	0
3083	10283	1	1
3083	8893	3	1
3083	9008	3	1
3083	7148	3	1
3083	1115	0	0
3083	4159	0	0
3083	10534	0	0
3083	9074	3	1
3083	418	1	1
3083	2998	0	0
3083	3277	0	0
3083	1781	0	0
3083	9744	0	0
3083	9352	0	0
3083	8577	4	1
3083	11054	0	0
3083	363	0	0
3083	12306	0	0
219	3393	0	0
219	12930	0	0
219	1826	0	0
219	5041	3	1
219	1312	1	1
219	2994	3	1
219	11714	0	0
219	1686	0	0
219	13189	0	0
219	11934	3	1
219	2531	4	1
219	2043	0	0
219	10763	0	0
219	1459	0	0
219	263	4	1
219	1024	1	1
219	3571	1	1
219	1324	4	1
219	0060073	3	1
219	12365	0	0
219	3070	0	0
219	1909	2	1
219	14221	0	0
219	6364	0	0
219	2377	2	1
219	4045	2	1
219	585	0	0
219	0050742	0	0
219	9970	1	1
219	2174	1	1
219	11476	0	0
219	2394	2	1
219	1793	3	1
219	4989	0	0
219	1192	2	1
219	11612	0	0
219	12236	0	0
219	10283	3	1
219	8893	2	1
219	9008	1	1
219	7148	1	1
219	1115	1	1
219	4159	3	1
219	10534	4	1
